hasIdBycicleParking,description,District,idDistrict,same_as_wikidata_District,PostalAddress,same_as_wikidata_PostalAddress,Neighborhood,same_as_wikidata_Neighborhood,idNeighborhood,state,installDate
4704600,Situado aparcabicicletas,Hortaleza,16,https://wikidata.org/entity/Q1928529,"CALLE ACONCAGUA, 4",,Pinar del Rey,https://wikidata.org/entity/Q10349788,164,1,2013-01-03T00:00:00Z
457787,SITUADO APARCABICICLETAS - C/ TAMAYO Y BAUS Nº5,Centro,1,https://wikidata.org/entity/Q1763376,"Calle de Tamayo y Baus, Madrid",https://wikidata.org/entity/Q54087402,Justicia,https://wikidata.org/entity/Q1992319,14,1,
457790,SITUADO APARCABICICLETAS - Pº RECOLETOS Nº23,Centro,1,https://wikidata.org/entity/Q1763376,Paseo de Recoletos,https://wikidata.org/entity/Q2550870,Justicia,https://wikidata.org/entity/Q1992319,14,1,
4704601,Situado aparcabicicletas,Hortaleza,16,https://wikidata.org/entity/Q1928529,"CALLE NEVADO DEL RUIZ, 4",,Pinar del Rey,https://wikidata.org/entity/Q10349788,164,1,2013-01-03T00:00:00Z
457794,SITUADO APARCABICICLETAS - C/ MESONERO ROMANOS Nº13,Centro,1,https://wikidata.org/entity/Q1763376,calle de Mesonero Romanos,https://wikidata.org/entity/Q16867482,Universidad,https://wikidata.org/entity/Q10387767,15,1,
457798,SITUADO APARCABICICLETAS - C/ MESONERO ROMANOS Nº17,Centro,1,https://wikidata.org/entity/Q1763376,calle de Mesonero Romanos,https://wikidata.org/entity/Q16867482,Universidad,https://wikidata.org/entity/Q10387767,15,1,
4704599,Situado aparcabicicletas,Hortaleza,16,https://wikidata.org/entity/Q1928529,"CALLE LAS PEDRO?ERAS, 1",,Canillas,https://wikidata.org/entity/Q9694341,163,1,2013-01-03T00:00:00Z
4704602,Situado aparcabicicletas,Hortaleza,16,https://wikidata.org/entity/Q1928529,"CALLE MAR DE LAS ANTILLAS, 10",,Pinar del Rey,https://wikidata.org/entity/Q10349788,164,1,2013-01-03T00:00:00Z
4704603,Situado aparcabicicletas,Hortaleza,16,https://wikidata.org/entity/Q1928529,"CALLE MAR MENOR, 25",,Pinar del Rey,https://wikidata.org/entity/Q10349788,164,1,2013-01-03T00:00:00Z
457801,SITUADO APARCABICICLETAS - Pz. CALLAO Nº1,Centro,1,https://wikidata.org/entity/Q1763376,"PLAZA CALLAO, 2",,Sol,https://wikidata.org/entity/Q2465181,16,1,
457803,SITUADO APARCABICICLETAS - Pz. SANTO DOMINGO Nº19,Centro,1,https://wikidata.org/entity/Q1763376,Fuente de la plaza de Santo Domingo,https://wikidata.org/entity/Q28502622,Palacio,https://wikidata.org/entity/Q2136510,11,1,
457804,SITUADO APARCABICICLETAS - Pz. SANTO DOMINGO Nº19,Centro,1,https://wikidata.org/entity/Q1763376,Fuente de la plaza de Santo Domingo,https://wikidata.org/entity/Q28502622,Palacio,https://wikidata.org/entity/Q2136510,11,1,
4704604,Situado aparcabicicletas,Hortaleza,16,https://wikidata.org/entity/Q1928529,"CALLE SANTA VIRGILIA, 19",,Pinar del Rey,https://wikidata.org/entity/Q10349788,164,1,2013-01-03T00:00:00Z
457807,SITUADO APARCABICICLETAS - CUESTA SANTO DOMINGO Nº14,Centro,1,https://wikidata.org/entity/Q1763376,"Cuesta de Santo Domingo, Madrid",https://wikidata.org/entity/Q5794008,Palacio,https://wikidata.org/entity/Q2136510,11,1,
